question_original,question_clean,answer_original
What is the Health Assistance Benefit provided as part of COVID-19 Protection Cover by ICICI Lombard?,health assistance benefit provided part covid protection cover icici lombard,"

Health assistance will be provided through a dedicated helpline of the insurer. The health assistance team is dedicated to assist the insured person in the following ways:
- Identifying Specialist/Hospital- Fixing an appointment with medical practitioners wherever applicable on best effort basis- Providing options on suitable network providers.- Providing information on ailments and possible lines of treatment- Provision for a second medical opinionYou can either call helpline number 040 6627 4205 (during official hours - 9 AM to 9 PM, Monday to Saturday, excluding public holidays), or write to healthassistance@icicilombard.com to avail this facility.

"
What are the eligibility criteria for Digit Illness Group Insurance Cover for Coronavirus (Indemnity)?,eligibility criteria digit illness group insurance cover coronavirus indemnity,"You are eligible for buying this policy if you:
1. Do not have any international travel history in the last 30 days before the purchase of the policy
2. Are not suffering from disease related to diabetes/heart/lungs/kidney/liver, cancer, stroke and any condition that needs ongoing medication/ treatment "
What am I covered for under the Digit Illness Group Insurance Cover for Coronavirus (Indemnity)?,covered digit illness group insurance cover coronavirus indemnity,"This policy will cover the hospitalization costs incurred in case you are tested positive for COVID-19. The benefits that can be availed under this policy are as follows:
- Pre and Post-Hospitalization cover for 30 Days | 60 Days. Any medication/ consultation charges incurred in pre and post-hospitalization shall also be covered- No Restriction on Room Rent- No Restriction on ICU Rent- 1% of the Sum Insured for Ambulance- Second Medical Opinion Covered"
What is the Chat/Virtual consultation provided as part of COVID-19 Protection Cover by ICICI Lombard?,chatvirtual consultation provided part covid protection cover icici lombard,"Chat is a form of consultation provided by healthcare professionals through the insurer's online platform for routine health queries. This service can be availed during official hours, that is between 9 AM and 9 PM from Monday to Saturday (excluding public holidays)."
What will I get as proof of insurance after I purchase the COVID-19 Protect policy?,get proof insurance purchase covid protect policy,"



You will get a Policy Certificate mailed to your email address provided at the time of purchase within 48 hours of buying it. You will also be able to view or share the same from the 'My Orders' section of your Flipkart account.



"
"If I have a recent travel history to a foreign country, will I be eligible for the COVID-19 Protection Cover by ICICI Lombard?",recent travel history foreign country eligible covid protection cover icici lombard,You are not eligible for cover under this policy if you have travelled outside India after December 31 2019.
What am I covered for under the COVID-19 Protection Cover by ICICI Lombard?,covered covid protection cover icici lombard,"This cover will help you if you are tested positive for COVID-19 (CoronaVirus Disease) as part of which you get the sum insured as a lump sum amount.
Additionally, you can also avail services such as:- Health assistance- Doctor on chat- Emergency ambulance and- Tele consultation with a medical practitioner
Kindly read the policy document for details on these services."
What is the Ambulance Assistance service provided by the COVID-19 Protection Cover by ICICI Lombard?,ambulance assistance service provided covid protection cover icici lombard,"ICICI Lombard will provide assistance to arrange for an ambulance in case of any (not COVID-19 specific) life threatening medical need. The service can be utilized unlimited number of times, subject to availability of services in that particular city/location. Kindly visit icicilombard.com for an updated list of cities/locations where the services are provided. The cost of transportation will have to be borne by the customer."
What is the eligible age group for the COVID-19 Protection Cover by ICICI Lombard?,eligible age group covid protection cover icici lombard,"Individuals in the age group of 18-75 years can purchase this cover provided he/she is not ineligible as per the terms and exclusions of the cover.
Individuals below 18 years of age are not eligible for the cover."
What happens if I purchase Digit Illness Group Insurance - Cover for Coronavirus (Indemnity) and then travel to a foreign country where I contract the virus and have to undergo treatment. Will my policy cover the expenses incurred in this scenario?,happens purchase digit illness group insurance cover coronavirus indemnity travel foreign country contract virus undergo treatment policy cover expenses incurred scenario,No. Any treatment taken outside India will not be covered under this policy. 
What is Flipkart Quick?,flipkart quick,"Flipkart Quick is a new delivery service that guarantees express delivery within 90 minutes as well as slotted delivery of items for categories like grocery, fresh fruits and vegetables, lifestyle, and mobiles."
How can I shop on Flipkart Quick?,shop flipkart quick,"You can shop for your day-to-day essentials on Flipkart Quick by following these steps:
1. Visit the 'Flipkart Quick' section 2. Add items to your cart and build a basket worth minimum Rs. 150 to continue with your order. If the order value is more than Rs. 500, it will be eligible for free delivery3. Choose your preferred time slot for delivery4. Proceed to choose your preferred payment mode and place your order
Flipkart Quick is available on our app (Android, and iOS), mobile site as well as our website."
How can I track my Flipkart Quick order?,track flipkart quick order,You can track your order from the 'My Orders' section of your Flipkart account.
Can I choose to not accept a few items from my Flipkart Quick order at the time of delivery?,choose accept items flipkart quick order time delivery,"Yes, you can. But if the new order value of the items you wish to keep is below Rs. 500, shipping charges will be applicable. In case, the order value falls below Rs. 150, your order will get cancelled."
Can I reject the Flipkart Quick order at the time of delivery?,reject flipkart quick order time delivery,"Yes, you can choose not to accept the order. If you have already paid for the order, it will be refunded to the original payment source."
Can I add more items after I have placed a Flipkart Quick order?,add items placed flipkart quick order,"No, items cannot be added to an order after it is placed."
Is the delivery for Flipkart Quick free or chargeable?,delivery flipkart quick free chargeable,"For both express delivery and slotted delivery, if the order value is above Rs. 500, then the delivery will be free. In case the order value is less than Rs. 500, shipping charges will be applicable."
"In case I do not need a few items from the Flipkart Quick order, how do I cancel it?",case need items flipkart quick order cancel,"You may choose not to accept those items at the time of delivery. In case you have paid any amount, it will be refunded to the original payment source."
What is express delivery?,express delivery,"It is a new delivery model that ensures delivery of items like grocery, fresh fruits, vegetables, lifestyle, and mobile categories within 90 minutes of it being placed. If the order value is more than Rs. 500, delivery is free. In case the order value is less than Rs. 500, shipping charges will be applicable."
Is there a gift wrap option available for Flipkart Quick orders?,gift wrap option available flipkart quick orders,"No, gift wrap option is currently not available."
Is there a minimum purchase amount for Flipkart Quick orders?,minimum purchase amount flipkart quick orders,"Yes, the minimum order value for an order to be fulfilled is Rs. 150."
What are the different payment options available for Flipkart Quick?,different payment options available flipkart quick,"You can choose to pay for your order through netbanking, credit card, debit card, UPI/wallets, or by cash."
Can I cancel a part of my Flipkart Quick order after I have placed it?,cancel part flipkart quick order placed,"Yes, until your order is packed you can choose to cancel a part of it. You can check the status of your order in the 'My Orders' page of your Flipkart account."
Can I choose a preferred time slot for the delivery of Flipkart Quick orders?,choose preferred time slot delivery flipkart quick orders,"Yes, you can choose your preferred time from available slots for the same day."
Can I modify my chosen time slot for the delivery of Flipkart Quick orders?,modify chosen time slot delivery flipkart quick orders,"No, once you have chosen your preferred delivery slot it cannot be modified."
"Can I change the mode of payment, once I have placed a Flipkart Quick order?",change mode payment placed flipkart quick order,"Once an order is placed, payment mode cannot be changed currently."
Can I change the delivery address after I have placed a Flipkart Quick order?,change delivery address placed flipkart quick order,"No, once an order is placed the delivery address cannot be changed."
What are SuperCoin Milestones?,supercoin milestones,SuperCoin Milestones let customers unlock benefits by earning a specific number of SuperCoins.
"When benefits are unlocked as part of SuperCoin Milestones, will there be deduction of SuperCoins?",benefits unlocked part supercoin milestones deduction supercoins,"No, there will be no deduction of SuperCoins even when benefits are unlocked.
 "
How long will the benefit be unlocked as part of my SuperCoin Milestones?,long benefit unlocked part supercoin milestones,"Once you reach the specified Milestone by earning required number of SuperCoins and unlock a benefit, it will be available for a year. However, if you have the required number of SuperCoins even after a year, the benefit you have unlocked will be automatically renewed for another year. 
 "
How do I renew my benefits as part of SuperCoin Milestones?,renew benefits part supercoin milestones,"In case you have required SuperCoins as per the specified Milestone, the benefits that you have unlocked as part of SuperCoin Milestones will be renewed and you can continue to avail them even after a year. 
 "
What is Cash and Coins for Rewards program?,cash coins rewards program,Cash and Coins for Rewards enables customers to redeem select rewards offered by third party using a combination of SuperCoins and a specific amount. The amount and the number of SuperCoins that have to be used to redeem a reward are pre-determined and cannot be changed.
Who all can avail Cash and Coins for Rewards?,avail cash coins rewards,"Cash and Coins for Rewards is available for all Flipkart customers. Based on the avaialibity of your SuperCoin balance, you can redeem existing rewards. "
Can I choose the number of SuperCoins that can be redeemed for a purchase as part of Cash and Coins for Rewards program?,choose number supercoins redeemed purchase part cash coins rewards program,The amount to be paid and the SuperCoins that can be redeemed as part of the Cash and Coins for Rewards is a pre-determined combination. A reward can be purchased by redeeming only the exact number of SuperCoins mentioned on the reward page.
Can I buy rewards using only prepaid mode of payment and redemption of SuperCoins as part of Cash and Coins for Rewards program?,buy rewards using prepaid mode payment redemption supercoins part cash coins rewards program,"No, currently as part of Cash and Coins for Rewards program, rewards can be purchased only by paying using a combination of specific amount and by redeeming the number of SuperCoins mentioned."
Can I buy all the listed rewards using prepaid mode of payment and by redeeming SuperCoins as part Cash and Coins for Rewards?,buy listed rewards using prepaid mode payment redeeming supercoins part cash coins rewards,"No, the option to use Cash and Coins is applicable only on select rewards under the Rewards Store of SuperCoin Zone."
Can I purchase rewards using Cash and Coins option from desktop?,purchase rewards using cash coins option desktop,"Cash and Coins for Rewards program is currently available only on our app and m-site. 
 "
Can I make the payment using prepaid mode of payment and Gift Card as part of the Cash and Coins for Rewards?,make payment using prepaid mode payment gift card part cash coins rewards,"The amount specified to redeem a reward can only be paid through a prepaid mode of payment such as debit, credit card and netbanking. Please note, the prepaid methods mentioned cannot be combined to complete the payment. Option to pay via Gift Card is currently not available.
 
 "
Where can I find the code for the rewards claimed as part of the Cash and Coins for Rewards?,find code rewards claimed part cash coins rewards,"You can get codes for claimed rewards in the 'Claimed Rewards' section of the Rewards Store under SuperCoin Zone.
 
 "
Will I get SuperCoins for using Cash and Coins for Rewards?,get supercoins using cash coins rewards,"There will be no SuperCoins earnings as part of Cash and Coins for Rewards. You can only redeem SuperCoins to avail a reward.
 
 "
Can I cancel or return a reward as part of the Cash and Coins for Rewards for program?,cancel return reward part cash coins rewards program,"No, once a reward is claimed, it cannot be cancelled.
 
 "
Which are the third-party partner stores where I can use SuperCoin Pay feature?,thirdparty partner stores use supercoin pay feature,"You can check out the list of third-party partner stores where you can use SuperCoin Pay feature and redeem SuperCoins by visiting the SuperCoin Zone. We are constantly working on expanding this list so you can avail this feature across a wide-range of stores.
 "
Can SuperCoin Pay feature be used to shop online?,supercoin pay feature used shop online,"

Yes, SuperCoin Pay feature can be used to shop online based on third-party partner stores available in the SuperCoin Zone.

"
Is it necessary to register on Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) or at the third-party partner store to use SuperCoin Pay feature?,necessary register twid innotarget fashalot retail private limited thirdparty partner store use supercoin pay feature,"No, it is not necessary to register on Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) or at the third-party partner store to use SuperCoin Pay feature."
Is it necessary for me to be registered with the same contact number at the third-party partner store for me to use SuperCoin Pay feature?,necessary registered contact number thirdparty partner store use supercoin pay feature,"No, it is not necessary for you to be registered with the same contact number at the third-party partner store to be able to use the SuperCoin Pay feature."
How can I know if the store I am at has the option of using SuperCoin Pay feature?,know store option using supercoin pay feature,Please ask the cashier at the store if the option to pay through SuperCoin Pay feature is available with them or you can look for a QR code scanner with Flipkart logo and SuperCoin Pay option.
What does it mean if a store displays a SuperCoin Pay QR code?,mean store displays supercoin pay qr code,"

SuperCoin Pay feature allows you to make payment for the product purchased at a third-party partner store and to redeem SuperCoins in the SuperCoin Zone of your Flipkart account. To use this feature, open the QR code scanner available in the SuperCoin Zone on the app and scan the QR code to be directed to the payment page.

"
Why is my preferred store not showing up for SuperCoin Pay on the Flipkart app?,preferred store showing supercoin pay flipkart app,"SuperCoin Pay feature is currently available only with select third-party partner stores. If you're unable to find a specific store or brand for SuperCoin Pay on the Flipkart app, it means that it is not listed as a partner store with us at the moment. You can visit the SuperCoin Zone and click on 'Stores Nearby' to find the list of the partner stores. Rest assured, we are working on expanding our partner stores so you can avail this feature."
How do I know if a third-party partner store accepts SuperCoin Pay if there is no QR code scanner available?,know thirdparty partner store accepts supercoin pay qr code scanner available,"To check if a third-party store has partnered with us for the SuperCoin Pay feature, please check with the cashier at the store or you can visit the SuperCoin Zone and check the list of the partner stores using 'Stores Nearby' option."
What are in-app offers for SuperCoin Pay?,inapp offers supercoin pay,"

In-app offers are offers provided by brands and banks as part of SuperCoin Pay with terms and conditions applicable. These offers help you save extra on your spendings at third-party partner stores. To avail an offer, please scan the QR code, enter the bill amount and select 'Apply Brand Voucher' by choosing the relevant discount available.

"
What is the purpose of the scratch card in SuperCoin Pay?,purpose scratch card supercoin pay,On every successful transaction using SuperCoin Pay feature you will get a scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) with terms and conditions applicable. Once you scratch it you will either find SuperCoins or an offer inside. Any SuperCoins obtained as part of the offer will be credited to the 'Coin Balance' section of the SuperCoin Zone within 48 hours and it will also reflect in the 'Coin Activity' section.
Where will I find a scratch card after using SuperCoin Pay feature for an order?,find scratch card using supercoin pay feature order,"If an order is eligible for scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED), it will be added soon after transaction is successful. Please go to 'My Orders' page of your Flipkart account, tap on the SuperCoin Pay logo at the top of the page and choose SuperCoin Pay from the menu. There will a tab at the top of the page with scratch cards and you will be able to find your scratch card on that particular tab. Please note that offers are subject to terms and conditions."
What are the cities/states that have third-party partner stores to redeem the SuperCoin Pay feature?,citiesstates thirdparty partner stores redeem supercoin pay feature,"SuperCoin Pay feature is available all over the country. You can make payments at any third-party store listed on SuperCoin Zone section of your Flipkart account. To see the list of stores near you where you can pay using SuperCoin Pay, the app will need access to your device's/phone's location. In case you would like to go ahead with this feature, please provide necessary permissions to the Flipkart app. Remember stores that are not listed for your area or not showing up on the app will not accept the payment through SuperCoin Pay."
Can I scan any QR code in the store to initiate the payment for an order using SuperCoin Pay feature?,scan qr code store initiate payment order using supercoin pay feature,"No, only Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) or QR codes associated with SuperCoin Pay feature can be scanned to complete payment for an order using SuperCoin Pay feature."
For how long is a payment code as a part of SuperCoin Pay valid once it is generated?,long payment code part supercoin pay valid generated,A payment code generated will be valid for 24 hours hours.
What all brands are part of the SuperCoin Pay program?,brands part supercoin pay program,"

You can check details of partnered brands on the SuperCoin Zone of Flipkart app. However, please continue checking the app as we will keep adding other brands to the existing list.

"
How secure is the payment through SuperCoin Pay?,secure payment supercoin pay,Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) platform is designed to ensure your data is safe and secure. This is a PCI DSS certified platform that makes your transaction completely safe. Your data is 256 bits encrypted and with your full opt-in consent and transparency.
Do I have to manually unlock a scratch card as part of SuperCoin Pay?,manually unlock scratch card part supercoin pay,Yes. You would need to tap on a scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) to unlock your surprise reward. Please note that offers are subject to terms and conditions.
What is SuperCoin Pay feature?,supercoin pay feature,"SuperCoin Pay enables you to redeem SuperCoins to avail discounts in combination with a prepaid payment mode for purchases on Flipkart platform and at third-party partner stores.
Please note, you can redeem SuperCoins for discounts on a product on Flipkart platform based on the value you see on the product page and as per the terms and conditions of the participating banks or the payment mode. However, at a third-party partner store, you may be able to redeem all your SuperCoins based on the final bill value.
 "
How can I redeem SuperCoins through SuperCoin Pay feature during my purchase at a third-party partner store or on Flipkart platform?,redeem supercoins supercoin pay feature purchase thirdparty partner store flipkart platform,"To avail discounts by redeeming SuperCoins through SuperCoin Pay at a third party store is easy. Here's how you can use the feature:
- Open the Flipkart app- Visit the SuperCoin Zone- Click on 'Stores Nearby'- Search for the store you are at and select it- Enter the final bill amount once the cashier confirms it- Select any applicable offer and SuperCoins points to be redeemed- Enter the OTP sent to your registered phone number to verify the number of SuperCoins being redeemed- In case of only SuperCoins redemption: Once the verification is done, you will be redirected to the confirmation page which will display a payment code- Show this code to the cashier and the transaction will be completed- In case of prepaid mode of payment: Proceed to pay the balance amount using your preferred payment method from credit/debit card or netbanking option- Once the amount is added, you will be redirected to the confirmation page which will display a payment code- Show this code to the cashier and the transaction will be completed
Alternatively, you can scan QR code powered by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) at partner stores for quick access and payment. To scan, please visit the SuperCoin Zone on the Flipkart app and click on the QR code scanner at the top right corner.
Here's how you can use the feature to redeem SuperCoins on Flipkart:
- Open the Flipkart app- Add the product to the cart- Choose the 'Supercoin Pay' from the available payment option to redeem SuperCoins for dicounts along with any other prepaid payment mode of participating banks to complete your purchase."
Can I redeem all of my available SuperCoins while using the SuperCoin Pay feature?,redeem available supercoins using supercoin pay feature,"You may be able to redeem all your available SuperCoins to avail discounts on the basis of the platform. In case the transaction is being completed on Flipkart platform, the redemption of SuperCoins to avail a discount will depend on the value on the product page and the terms and conditions of the participating bank or the payment mode. However, while transacting at a thrid- party partner store, it will depend on the final bill value."
Can I make the payment through cash or UPI payment mode to avail benefits as part of SuperCoin Pay at a third-party partner store?,make payment cash upi payment mode avail benefits part supercoin pay thirdparty partner store,"The option to pay by cash is not available at the moment to avail SuperCoin Pay related benefits. However, you can make the payment using credit/debit card, netbanking and UPI payment modes. If you want you can also redeem only SuperCoins to avail discounts using SuperCoin Pay feature."
How do I apply an offer while making the payment using SuperCoin Pay feature?,apply offer making payment using supercoin pay feature,"
To apply an offer while redeeming SuperCoins at a third party store, please follow the below mentioned steps:
- Open Flipkart app- Go to SuperCoin Zone- Scan the QR code or select the outlet you're at- Enter the final bill amount after cashier's confirmation - You will be able to view the offers available - Select the applicable offer
To apply an offer while redeeming SuperCoins on Flipkart platform, please follow the below steps:
- Open the Flipkart app- Click on 'Supercoin Pay' from the payment options- Instant discount will be already applied- View the offer details to know the SuperCoin redemption value and discount details
Kindly note that on Flipkart platform, offers are subjected to the terms and conditions of the participating banks or the payment mode.
"
Can I cancel the order that I paced by redeeming SuperCoin through the SuperCoin Pay feature?,cancel order paced redeeming supercoin supercoin pay feature,"Yes, orders placed by redeeming SuperCoins through SuperCoin Pay feature can be cancelled as per the cancellation policy of the third-party partner store at which the transaction was made. Kindly contact the partner store for more details. For purchases on Flipkart platform, please refer to the cancellation policy of the product."
Can I return a product and ask for a refund if I have purchased it by redeeming my SuperCoins to avail discount through SuperCoin Pay feature?,return product ask refund purchased redeeming supercoins avail discount supercoin pay feature,"To return a product purchased at a third party partner store, please contact the store as the policy may differ based on store partners. To return a product bought at Flipkart platform, please refer to the seller's returns policy available on the platform."
How does Supercoin Pay feature work on Flipkart platform?,supercoin pay feature work flipkart platform,"

SuperCoin Pay on Flipkart platform enables all customers who have more than 9 SuperCoins in their Flipkart account to redeem their SuperCoins to avail discounts while buying a product. As part of SuperCoin Pay, customers can avail discounts by redeeming SuperCoins and pay using a prepaid payment mode provided by participating banks. However, the redemption of SuperCoins will depend on the value of the product and terms and conditions of the paticipating bank or the payment mode.

"
Will I get the available bank offers on Flipkart platform if I choose to redeem SuperCoins through SuperCoin Pay?,get available bank offers flipkart platform choose redeem supercoins supercoin pay,"Yes, you can surely avail bank offers in case you choose to redeem SuperCoins through the SuperCoin Pay feature while placing an order. However, please note that the offer value will be calculated based on the amount being paid via the prepaid mode of payment option provided by participating banks."
What is the difference between the Supercoins Price option available on the product page and SuperCoin Pay on Flipkart platform?,difference supercoins price option available product page supercoin pay flipkart platform,"

'SuperCoins Price' is determined by the seller and as part of this price, discounts on a product can be availed by redeeming only the exact number of SuperCoins mentioned on the product page. Customers can also choose to buy the product by paying the regular price mentioned on the product page. On the other hand, SuperCoin Pay feature on Flipkart platform enables a customer with more than 9 SuperCoins in their account, to redeem SuperCoins to avail discounts in combination with prepaid payment mode of participating banks.

"
"While transacting on Flipkart platform, as part of SuperCoin Pay, can I redeem SuperCoins along with a prepaid payment mode provided by any bank?",transacting flipkart platform part supercoin pay redeem supercoins along prepaid payment mode provided bank,"Currently as part of SuperCoin Pay, SuperCoins can be redeemed to avail discounts along with prepaid payment mode provided only through participating banks."
Can I redeem SuperCoins through Supercoin Pay feature for products from all the categories on the Flipkart platform?,redeem supercoins supercoin pay feature products categories flipkart platform,"Yes, you can use SuperCoin Pay feature to redeem SuperCoins to avail discounts in combination with prepaid payment mode of participating banks to complete purchase of products from all categories on Flipkart platform. However, please note, SuperCoin Pay feature on Flipkart platform cannot be used for refurbished products, travel bookings, Grocery, Flipkart Gift Cards and third party rewards."
What is a refurbished product and how do I identify it on Flipkart?,refurbished product identify flipkart,A refurbished product is a pre-owned product that has been tested for optimal performance and functionality while being covered by a specific warranty provided by the seller. These products are classified under various grades as per their condition and you can know more details by visiting the 'Refurbished Zone' on Flipkart. You can distinguish refurbished products from new products by looking for a 'Refurbished' tag that is present for all refurbished products near the product name.
How are prices of refurbished products decided?,prices refurbished products decided,Sellers decide the price of the refurbished product as per the grade which is arrived at based on the time period of product's usage and the appearance as a result of wear and tear.
How can I understand the grade of a refurbished product?,understand grade refurbished product,"Each refurbished product is assigned a grade and you can find the details about the grade under the 'Grade' tag. For more information on various grades, please visit the 'Refurbished Zone' on Flipkart."
Can refurbished products be searched by their product name?,refurbished products searched product name,"No, refurbished products cannot be searched by their product names. However you can view the list of refurbished products by typing 'refurbished' in the search bar or by visiting the 'Refurbished Zone'."
Can I filter my search for refurbished products in terms of product grades?,filter search refurbished products terms product grades,"Yes, you can filter the refurbished products based on their grades in the 'Refurbished Zone' on Flipkart."
Why is the refurbished category not visible for me on my Flipkart app?,refurbished category visible flipkart app,Looks like you have an old version of the Flipkart app installed on your phone. Please update your app to the new version to access and shop for refurbished products on Flipkart.
What are the charges applicable for warranty claim in case of a refurbished product?,charges applicable warranty claim case refurbished product,Services covered under the warranty will be provided without any charge. You can find more details about the services in the product page or the warranty card provided.
How do I claim warranty services for refurbished products?,claim warranty services refurbished products,You can get in touch with the warranty service provider to claim services covered under the seller's warranty. Please check the warranty card you would have received with the product or the product page for contact details of the warranty service provider.
What date does the warranty service apply for my refurbished product purchased on Flipkart?,date warranty service apply refurbished product purchased flipkart,The warranty for your refurbished product starts from the date mentioned on the seller's invoice.
How are refurbished products categorised on Flipkart?,refurbished products categorised flipkart,"

The refurbished products are classified as follows:
Unboxed - Like New - Zero scratchesRefurbished Superb - Negligible scratchesRefurbished Good - Minimal scratchesRefurbished Okay - Visible scratches
For more details about each type, please visit this link: https://www.flipkart.com/refurbished-grades-store

"
What types of products will be available under Flipkart 'Refurbished Zone'?,types products available flipkart refurbished zone,Sellers are currently selling only refurbished mobile phones on Flipkart.
How will I claim warranty for refurbished products?,claim warranty refurbished products,"

All refurbished products on Flipkart are covered under a warranty and details are mentioned on the product page. To claim services covered under the seller's warranty, you can get in touch with the warranty service provider Xtra Cover using the contact details mentioned on the product page. The contact details will also be mentioned on the invoice that you will get when you buy the product.

"
How do I know if my booking has been confirmed?,know booking confirmed,"Once you complete your booking, you will receive an email with the E-ticket and an SMS confirming the same. You will also receive another SMS from the airline with the booking details."
"I want to update my email id/phone number for the booking that I've just made, how do I do it?",want update email idphone number booking ive made,You can get in touch with the airline to update your email ID/phone number.
"How can I add extra baggage/meals to my flight booking? What are the charges?
 ",add extra baggagemeals flight booking charges,You can get in touch with the airline for the addition of extra baggage/meals to your flight booking and to know the charges.
How can I get the E-ticket for my flight booking?,get eticket flight booking,"An E-ticket is always sent to your registered email address right after your flight booking is confirmed. You can also view the E-ticket from the 'My Orders' section of your Flipkart account on our app. Under 'My orders', click 'Travel bookings', select the booking for which you want the E-ticket and then choose either of the two options 'View E-ticket' and 'Email E-ticket'. Please note that the 'View E-ticket' option is not available on our website."
How can I cancel my flight booking?,cancel flight booking,"Here's how you can cancel your flight booking on the Flipkart app:1. Click on the 'flights' section and visit 'My Orders'2. For the flight booking that you want to cancel, select the passenger's name, sector and reason for cancellation and click on 'calculate refund'3. Check the airline fare rules and cancel the booking as desired"
What is Web check-in?,web checkin,"Web check-in is the process through which you can confirm your availability for boarding a flight and get the boarding pass from the airline's website prior to your date of travel. You may also get options to choose meals, baggage, etc. and select seats as per your preference depending on the airline and the flight. "
How can I do a Web check-in?,web checkin,"

Here's how you can easily do the web check-in for your flight:1) Visit the online check-in page of the airline.2) Enter your surname and Booking Reference/PNR to initiate your check-in.3)Select the passengers you'd like to check-in.4)You may be asked to enter advance passenger information if required by the destination country (Only for INTL flights)5)Print your boarding pass.

"
Can I make partial payments at the time of flight booking?,make partial payments time flight booking,"No, the option to make partial payments for booking a flight is currently not available on Flipkart Travel."
What are the various payment options available for flight booking?,various payment options available flight booking,"You can book your flight on Flipkart Travel using any of the following payment options:
Credit/Debit Card Net Banking Credit card EMIUPIWallets
"
Can I use my card to book a flight in someone else’s name?,use card book flight someone else’s name,"

Yes, but please mention the name of the person travelling as per any government ID proof under the 'Traveller's name' section.

"
What is a convenience fee? Why am I being charged?,convenience fee charged,"A convenience fee can also be referred to as an internet handling fee and is charged by the booking service provider. While most portals add it on the payment page, we believe in being transparent about it and showing the convenience fee on the booking details page itself. Please note that the fee is usually non-refundable if you cancel the ticket."
What are 'No show' and 'No refund'?,show refund,"'No show' is the term used by airlines to indicate the status of a passenger who makes a reservation but neither travels nor cancels the booking.When cancellation penalties including that charged by Flipkart Travel and the airline combined are higher than the amount paid by the customer at the time of booking, the customer is not eligible for any refund except for some unutilised taxes from your booking amount and this is called as 'No refund'."
"Can I use SuperCoins to book a flight on Flipkart Travel Travel? If yes, what is the limit?",use supercoins book flight flipkart travel travel yes limit,"Yes, you can use your SuperCoins which are in a credited state to book flights on Flipkart Travel and there is no limit to the number of SuperCoins that you can use for a single booking."
What is a boarding pass?,boarding pass,A boarding pass or boarding card is a document provided by an airline during check-in that gives passengers permission to enter the restricted area of an airport (also known as the airside portion of the airport) and to board the aeroplane for a particular flight.
"I have redeemed a coupon code for a flight booking that I have cancelled, can I use the same coupon code for a new booking?
I have redeemed a coupon code for a flight booking that has been cancelled by the airline, can I use the same coupon code for a new booking?",redeemed coupon code flight booking cancelled use coupon code new booking redeemed coupon code flight booking cancelled airline use coupon code new booking,"

No, a coupon code cannot be redeemed for more than one booking.

"
How can I get the information about the terminal from where my flight is scheduled to depart?,get information terminal flight scheduled depart,"Information about the terminal is mentioned on the E-ticket that is sent to your registered email after your booking is confirmed. However, it is recommended that you still confirm it with the airline as terminals are subject to change. "
What happens if I miss my flight?,happens miss flight,"

In case you miss your flight, you will be declared a 'no show' as per airline guidelines and only some unutilised taxes from your booking amount will be refunded to you by the airline.

"
How can I pre-select my flight seat?,preselect flight seat,"



While some airlines give you the option to pre-select seats free of cost, others may charge a fee. You can pre-book seats during the web check-in process. 



"
I want wheelchair assistance for my flight booking. How do I arrange that?,want wheelchair assistance flight booking arrange,"





Wheelchair service is provided by all airlines free of cost. Please get in touch with the airline directly and place a wheelchair service request.





"
Which documents do I need to carry for a domestic/international flight?,documents need carry domesticinternational flight,"For a domestic flight, you will need to carry a government-approved ID (PAN card, driving license, Aadhar card, voter ID, passport) along with a digital or print copy of your ticket.
In case of an international flight, along with a digital or printed copy of your ticket, it is mandatory to carry a valid passport. You may also need a valid visa for the country you are travelling to. Please check the visa-related guidelines of that country before travelling.
 "
Which documents do I need to carry for an infant while travelling by flight?,documents need carry infant travelling flight,"

You can carry the date of birth certificate or passport for an infant. Vaccination cards are also accepted by a few airlines for domestic travel. However, you can get in touch with the airline for additional information.

"
How do I know if my hotel booking has been confirmed?,know hotel booking confirmed,"Once you complete your hotel booking, you will receive an email with a voucher and an SMS with the booking confirmation."
How can I get the voucher for my hotel booking?,get voucher hotel booking,"A voucher is always sent to your registered email address right after your hotel booking is confirmed. You can also view the voucher in the 'My Orders' section of your Flipkart account. Under 'My orders', click 'Travel bookings' and select the booking for which you want the voucher."
How can I cancel my hotel booking?,cancel hotel booking,Here's how you can cancel your hotel booking:-Go to 'My Orders'-Select 'Travel bookings'-Select the booking you want to cancel-Click on 'Cancel booking' -Review the refund amount-Click 'Confirm' to cancel
What is a convenience fee? Why am I being charged?,convenience fee charged,"A convenience fee can also be referred to as an internet handling fee and is charged by the booking service provider. While most portals add it on the payment page, we believe in being transparent about it and showing the convenience fee on the booking details page itself. Please note that the fee is usually non-refundable if you cancel the booking."
What is a 'No show'?,show,'No show' is the term used by hotels to indicate the status of a traveller who makes a reservation but neither checks in nor cancels the booking.
